Rl_,fn_,D_,M_,Effi_,SampleT_
200,0.6,0.297600000000564,1.52745057210473,97.7300439263265,3.10000000000588e-06
200,0.61,0.302560000000573,1.48553242900378,97.7461208011033,3.10000000000588e-06
200,0.62,0.307520000000583,1.44609277081622,97.7545879636748,3.10000000000588e-06
200,0.63,0.312480000000592,1.42711765094856,97.7562696988585,3.10000000000588e-06
200,0.64,0.317440000000602,1.3910332774938,97.7635851072261,3.10000000000588e-06
200,0.65,0.322400000000611,1.3738796142223,97.7678306988795,3.10000000000588e-06
200,0.66,0.32736000000062,1.34074466392669,97.769970272177,3.10000000000588e-06
200,0.67,0.33232000000063,1.32473642467233,97.768047603072,3.10000000000588e-06
200,0.68,0.337280000000639,1.29419187984752,97.7684628706111,3.10000000000588e-06
200,0.69,0.331200000000331,1.27963028015922,97.7697114289624,3.000000000003e-06
200,0.7,0.336000000000336,1.2652214314199,97.765040738692,3.000000000003e-06
200,0.71,0.340800000000341,1.25138730325895,97.7670866117862,3.000000000003e-06
200,0.72,0.345600000000346,1.22452145999252,97.7581400392495,3.000000000003e-06
200,0.73,0.35040000000035,1.21145742468072,97.7500494970682,3.000000000003e-06
200,0.74,0.355200000000355,1.19892568102058,97.7475098218563,3.000000000003e-06
200,0.75,0.36000000000036,1.1864572029885,97.736211035607,3.000000000003e-06
200,0.76,0.364800000000365,1.17450766905902,97.727819082532,3.000000000003e-06
200,0.77,0.357280000000015,1.16268639871407,97.7220177796535,2.90000000000012e-06
200,0.78,0.374400000000374,1.15117127537745,97.7018012214566,3.000000000003e-06
200,0.79,0.366560000000016,1.14010354489676,97.716847444728,2.90000000000012e-06
200,0.8,0.371200000000016,1.12925701084932,97.7109496025389,2.90000000000012e-06
200,0.81,0.375840000000016,1.11858300129262,97.7130855705517,2.90000000000012e-06
200,0.82,0.380480000000016,1.10836277013507,97.717575247936,2.90000000000012e-06
200,0.83,0.385120000000017,1.09814338626467,97.7197261754562,2.90000000000012e-06
200,0.84,0.389760000000017,1.08834797872926,97.7238863406762,2.90000000000012e-06
200,0.85,0.394400000000017,1.07852613436613,97.7136585206513,2.90000000000012e-06
200,0.86,0.399040000000017,1.06912751166745,97.7132999826055,2.90000000000012e-06
200,0.87,0.403680000000017,1.05969435569541,97.7035555378371,2.90000000000012e-06
200,0.88,0.408320000000018,1.05969435569541,97.7035555378371,2.90000000000012e-06
200,0.89,0.412960000000018,1.05064795161177,97.6948884456929,2.90000000000012e-06
200,0.9,0.403199999999604,1.04157696033752,97.6768871092993,2.79999999999725e-06
200,0.91,0.407679999999599,1.03289055395477,97.664275841726,2.79999999999725e-06
200,0.92,0.412159999999595,1.02429568904201,97.6566014569106,2.79999999999725e-06
200,0.93,0.416639999999591,1.02429568904201,97.6566014569106,2.79999999999725e-06
200,0.94,0.421120000003761,1.01594561092507,97.6395370158178,2.800000000025e-06
200,0.95,0.425599999999582,1.00782471721183,97.6484519798915,2.79999999999725e-06
200,0.96,0.430079999999577,1.00782471721183,97.6484519798915,2.79999999999725e-06
200,0.97,0.434559999999573,1.00004284283396,97.6497514799109,2.79999999999725e-06
200,0.98,0.439039999999569,0.992104327091015,97.6840657960265,2.79999999999725e-06
200,0.99,0.443519999999564,0.992104327091015,97.6840657960265,2.79999999999725e-06
201,0.6,0.297600000000564,1.5279434731944,97.7308891198936,3.10000000000588e-06
201,0.61,0.302560000000573,1.4859416647828,97.7442973270431,3.10000000000588e-06
201,0.62,0.307520000000583,1.4464602687813,97.752985205542,3.10000000000588e-06
201,0.63,0.312480000000592,1.4274709392259,97.7556316971153,3.10000000000588e-06
201,0.64,0.317440000000602,1.39133790150618,97.7601938485435,3.10000000000588e-06
201,0.65,0.322400000000611,1.37416180580408,97.7637576600882,3.10000000000588e-06
201,0.66,0.32736000000062,1.34099594646759,97.768259060123,3.10000000000588e-06
201,0.67,0.33232000000063,1.32496656727281,97.7658235088564,3.10000000000588e-06
201,0.68,0.337280000000639,1.29440794663804,97.765874123447,3.10000000000588e-06
201,0.69,0.331200000000331,1.27983429748454,97.767042180442,3.000000000003e-06
201,0.7,0.336000000000336,1.26540399523217,97.7627155196603,3.000000000003e-06
201,0.71,0.340800000000341,1.25156880280184,97.7629189792546,3.000000000003e-06
201,0.72,0.345600000000346,1.22467247198222,97.7549485363444,3.000000000003e-06
201,0.73,0.35040000000035,1.21159473538976,97.7490381806486,3.000000000003e-06
201,0.74,0.355200000000355,1.19906153127688,97.7452976633328,3.000000000003e-06
201,0.75,0.36000000000036,1.18659707256883,97.7316864506011,3.000000000003e-06
201,0.76,0.364800000000365,1.17462635633441,97.7266211103122,3.000000000003e-06
201,0.77,0.357280000000015,1.16278658235421,97.7189894178866,2.90000000000012e-06
201,0.78,0.374400000000374,1.15127623705986,97.7021527843155,3.000000000003e-06
201,0.79,0.366560000000016,1.14019301322795,97.7156392550452,2.90000000000012e-06
201,0.8,0.371200000000016,1.12932712968956,97.7062362179745,2.90000000000012e-06
201,0.81,0.375840000000016,1.11865293498855,97.7085406863511,2.90000000000012e-06
201,0.82,0.380480000000016,1.10842010558019,97.715342903769,2.90000000000012e-06
201,0.83,0.385120000000017,1.09819277839386,97.7155739691647,2.90000000000012e-06
201,0.84,0.389760000000017,1.08839035129227,97.7206868371101,2.90000000000012e-06
201,0.85,0.394400000000017,1.0785780352418,97.713824893636,2.90000000000012e-06
201,0.86,0.399040000000017,1.06916774916057,97.7105458642053,2.90000000000012e-06
201,0.87,0.403680000000017,1.05974229580792,97.6996437367738,2.90000000000012e-06
